Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721057745.95020,0.000000,-5185.000000,-6069.000000,28139.000000,-21681.000000,-5787.000000,82.000000,-768.000000
1721057745.95519,-5851.000000,-2846.000000,-4125.000000,27732.000000,-16117.000000,-4244.000000,69.000000,-720.000000
1721057745.96018,-5942.000000,-1871.000000,-2787.000000,27861.000000,-16637.000000,-2982.000000,-118.000000,-891.000000
1721057745.96518,-3955.000000,-2218.000000,-3141.000000,27721.000000,-10354.000000,-3693.000000,-2.000000,-858.000000
1721057745.97017,-4134.000000,-2660.000000,-3926.000000,27661.000000,-14528.000000,-5070.000000,30.000000,-765.000000
1721057745.97516,-885.000000,-2058.000000,-3482.000000,27586.000000,-7108.000000,-3851.000000,66.000000,-778.000000
1721057745.98015,-451.000000,915.000000,-1090.000000,27509.000000,-16537.000000,-537.000000,22.000000,-835.000000
1721057745.98514,10988.000000,4511.000000,1889.000000,27667.000000,48814.000000,3348.000000,-78.000000,-872.000000
1721057745.99014,23671.000000,5730.000000,2547.000000,24520.000000,126043.000000,4276.000000,-33.000000,-849.000000
1721057745.99513,23691.000000,3958.000000,1182.000000,22941.000000,131037.000000,1825.000000,27.000000,-689.000000
1721057745.100012,25743.000000,2946.000000,-331.000000,22022.000000,143181.000000,644.000000,56.000000,-757.000000
1721057745.100511,25525.000000,2865.000000,-579.000000,21739.000000,130985.000000,2075.000000,53.000000,-779.000000
1721057745.101010,26212.000000,5529.000000,1564.000000,21983.000000,127224.000000,5118.000000,46.000000,-769.000000
1721057745.101510,22079.000000,7091.000000,3841.000000,22224.000000,113991.000000,8246.000000,-12.000000,-927.000000
1721057745.102009,19124.000000,6553.000000,4001.000000,23020.000000,100622.000000,7391.000000,37.000000,-828.000000
1721057745.102508,16979.000000,5145.000000,2826.000000,23540.000000,89606.000000,4453.000000,147.000000,-734.000000
1721057745.103007,10363.000000,3256.000000,1503.000000,24391.000000,55730.000000,57343.000000,54.000000,-766.000000
1721057745.103506,7262.000000,2888.000000,1474.000000,25731.000000,34664.000000,4522.000000,-53.000000,-818.000000
1721057745.104006,8363.000000,4531.000000,2748.000000,26398.000000,32804.000000,6633.000000,146.000000,-766.000000
1721057745.104505,7821.000000,6284.000000,4569.000000,26590.000000,29459.000000,8255.000000,160.000000,-851.000000
1721057745.105004,7335.000000,6474.000000,5218.000000,26707.000000,31834.000000,7152.000000,18.000000,-762.000000
1721057745.105503,5695.000000,4601.000000,4054.000000,26843.000000,27720.000000,4643.000000,39.000000,-814.000000
1721057745.106002,5695.000000,3109.000000,2618.000000,27004.000000,28883.000000,65535.000000,-44.000000,-719.000000
1721057745.106502,5365.000000,3296.000000,2157.000000,26932.000000,22601.000000,3086.000000,-148.000000,-801.000000
1721057745.107001,5283.000000,3955.000000,2959.000000,27117.000000,26235.000000,4513.000000,28.000000,-801.000000
1721057745.107500,1806.000000,3372.000000,2774.000000,27092.000000,18440.000000,3859.000000,78.000000,-724.000000
1721057745.107999,2420.000000,1767.000000,1365.000000,27155.000000,28852.000000,1442.000000,45.000000,-889.000000
1721057745.108498,-8571.000000,-1141.000000,-1024.000000,26865.000000,-25724.000000,-734.000000,80.000000,-824.000000
1721057745.108998,-23678.000000,-3886.000000,-2532.000000,29660.000000,-109283.000000,-1509.000000,28.000000,-796.000000
1721057745.109497,-23343.000000,-4513.000000,-3031.000000,31577.000000,-115461.000000,-1136.000000,94.000000,-777.000000
