Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721057301.198628,0.000000,474.000000,-1178.000000,20120.000000,63898.000000,-422.000000,22.000000,-702.000000
1721057301.199127,3430.000000,120.000000,-1082.000000,21918.000000,35560.000000,-623.000000,124.000000,-789.000000
1721057301.199626,3162.000000,118.000000,-999.000000,22805.000000,31884.000000,-378.000000,218.000000,-763.000000
1721057301.200126,2481.000000,390.000000,-896.000000,23288.000000,27033.000000,-272.000000,43.000000,-876.000000
1721057301.200625,2923.000000,596.000000,-653.000000,23665.000000,28072.000000,-165.000000,74.000000,-830.000000
1721057301.201124,2284.000000,476.000000,-671.000000,23676.000000,23609.000000,-92.000000,210.000000,-651.000000
1721057301.201623,2608.000000,489.000000,-581.000000,23847.000000,24797.000000,-1.000000,126.000000,-856.000000
1721057301.202122,1851.000000,539.000000,-434.000000,23842.000000,20503.000000,93.000000,-56.000000,-941.000000
1721057301.202622,2571.000000,711.000000,-296.000000,23970.000000,22577.000000,199.000000,96.000000,-668.000000
1721057301.203121,1514.000000,667.000000,-264.000000,23961.000000,16988.000000,305.000000,107.000000,-854.000000
1721057301.203620,3039.000000,1111.000000,-123.000000,24132.000000,23521.000000,266.000000,61.000000,-806.000000
1721057301.204119,-2109.000000,494.000000,-335.000000,23786.000000,-4217.000000,521.000000,117.000000,-826.000000
1721057301.204618,-18676.000000,-708.000000,-174.000000,26783.000000,-100403.000000,459.000000,214.000000,-841.000000
1721057301.205118,-20763.000000,-726.000000,0.000000,29619.000000,-116230.000000,449.000000,32.000000,-859.000000
1721057301.205617,-22917.000000,-811.000000,-14.000000,30277.000000,-128124.000000,710.000000,193.000000,-755.000000
1721057301.206116,-21572.000000,-447.000000,132.000000,30939.000000,-124042.000000,866.000000,177.000000,-732.000000
1721057301.206615,-20074.000000,-333.000000,128.000000,30657.000000,-117161.000000,972.000000,27.000000,-825.000000
1721057301.207114,-18075.000000,-76.000000,250.000000,30335.000000,-108204.000000,1186.000000,132.000000,-742.000000
1721057301.207614,-14766.000000,249.000000,235.000000,29503.000000,-89776.000000,1041.000000,90.000000,-794.000000
1721057301.208113,-13180.000000,473.000000,277.000000,28821.000000,-80535.000000,1180.000000,-1.000000,-781.000000
1721057301.208612,-9162.000000,884.000000,449.000000,28002.000000,-59032.000000,1151.000000,136.000000,-902.000000
1721057301.209111,-5172.000000,1259.000000,368.000000,26689.000000,-34083.000000,1273.000000,46.000000,-691.000000
1721057301.209610,-3775.000000,1323.000000,386.000000,25847.000000,-24731.000000,1213.000000,117.000000,-769.000000
1721057301.210110,-2688.000000,1373.000000,339.000000,25176.000000,-17239.000000,1307.000000,87.000000,-778.000000
1721057301.210609,-2988.000000,1104.000000,348.000000,24889.000000,-17610.000000,1504.000000,174.000000,-764.000000
1721057301.211108,-2121.000000,1489.000000,356.000000,24691.000000,-12924.000000,1181.000000,99.000000,-853.000000
1721057301.211607,-2604.000000,1281.000000,244.000000,24508.000000,-13932.000000,1266.000000,50.000000,-657.000000
1721057301.212106,-1748.000000,1367.000000,340.000000,24576.000000,-9523.000000,1350.000000,232.000000,-843.000000
