Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721054184.23755,0.000000,646.000000,-222.000000,30899.000000,-5399.000000,247.000000,-46.000000,-753.000000
1721054184.24254,12643.000000,1702.000000,-57.000000,31447.000000,-12897.000000,304.000000,-7.000000,-612.000000
1721054184.24754,24457.000000,2326.000000,-302.000000,29878.000000,66899.000000,641.000000,-93.000000,-791.000000
1721054184.25253,24837.000000,2244.000000,-217.000000,25099.000000,131048.000000,517.000000,5.000000,-663.000000
1721054184.25752,26273.000000,2444.000000,-271.000000,23499.000000,131546.000000,408.000000,113.000000,-681.000000
1721054184.26251,24305.000000,2162.000000,-280.000000,22759.000000,140204.000000,414.000000,59.000000,-783.000000
1721054184.26750,22892.000000,2149.000000,-534.000000,22755.000000,131539.000000,543.000000,-1.000000,-666.000000
1721054184.27250,19267.000000,1768.000000,-551.000000,23093.000000,127478.000000,443.000000,-75.000000,-787.000000
1721054184.27749,16280.000000,1663.000000,-409.000000,23733.000000,111118.000000,372.000000,1.000000,-760.000000
1721054184.28248,12705.000000,1291.000000,-592.000000,24853.000000,98658.000000,326.000000,-36.000000,-596.000000
1721054184.28747,6436.000000,907.000000,-713.000000,25744.000000,82472.000000,213.000000,-162.000000,-788.000000
1721054184.29246,3533.000000,581.000000,-589.000000,27134.000000,50761.000000,35.000000,-11.000000,-626.000000
1721054184.29746,3472.000000,751.000000,-555.000000,29029.000000,33011.000000,105.000000,18.000000,-831.000000
1721054184.30245,3139.000000,857.000000,-526.000000,29593.000000,30961.000000,98.000000,-21.000000,-705.000000
1721054184.30744,3277.000000,775.000000,-415.000000,30044.000000,27317.000000,12.000000,-24.000000,-746.000000
1721054184.31243,2632.000000,890.000000,-395.000000,30154.000000,27449.000000,-97.000000,-195.000000,-661.000000
1721054184.31742,2756.000000,772.000000,-501.000000,30368.000000,23193.000000,21.000000,-66.000000,-626.000000
1721054184.32242,2184.000000,722.000000,-421.000000,30253.000000,24452.000000,-199.000000,-233.000000,-884.000000
1721054184.32741,2654.000000,760.000000,-305.000000,30625.000000,19654.000000,-255.000000,-15.000000,-609.000000
1721054184.33240,1363.000000,918.000000,-294.000000,30522.000000,22867.000000,27.000000,-89.000000,-770.000000
1721054184.33739,3426.000000,872.000000,-310.000000,30602.000000,15290.000000,-59.000000,-100.000000,-714.000000
1721054184.34238,-11312.000000,-152.000000,-637.000000,30249.000000,25246.000000,55.000000,-10.000000,-744.000000
1721054184.34738,-26124.000000,-672.000000,-596.000000,31283.000000,-45391.000000,-335.000000,-65.000000,-840.000000
1721054184.35237,-25656.000000,-706.000000,-457.000000,35945.000000,-116443.000000,-256.000000,13.000000,-788.000000
