Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721054294.843729,0.000000,-437.000000,-361.000000,34450.000000,-99117.000000,280.000000,-175.000000,-819.000000
1721054294.844228,-13399.000000,-268.000000,-551.000000,33309.000000,-85985.000000,230.000000,-106.000000,-760.000000
1721054294.844727,-8303.000000,-203.000000,-651.000000,32576.000000,-75676.000000,265.000000,-136.000000,-765.000000
1721054294.845227,-5232.000000,209.000000,-639.000000,31369.000000,-48922.000000,266.000000,-46.000000,-803.000000
1721054294.845726,-4401.000000,166.000000,-658.000000,29802.000000,-29382.000000,164.000000,-96.000000,-643.000000
1721054294.846225,-3871.000000,119.000000,-726.000000,29013.000000,-22804.000000,55.000000,-147.000000,-828.000000
1721054294.846724,-3892.000000,27.000000,-740.000000,28508.000000,-17838.000000,101.000000,-94.000000,-768.000000
1721054294.847223,-3231.000000,-9.000000,-819.000000,28460.000000,-17942.000000,103.000000,68.000000,-743.000000
1721054294.847723,-3580.000000,-4.000000,-967.000000,28312.000000,-13630.000000,39.000000,-151.000000,-845.000000
1721054294.848222,-2829.000000,-109.000000,-1002.000000,28232.000000,-14686.000000,-38.000000,-154.000000,-680.000000
1721054294.848721,-3534.000000,-23.000000,-1060.000000,27942.000000,-10095.000000,5.000000,-47.000000,-786.000000
1721054294.849220,-2485.000000,-71.000000,-1072.000000,28093.000000,-12946.000000,-159.000000,-67.000000,-751.000000
1721054294.849719,-3831.000000,-207.000000,-1188.000000,27727.000000,-5990.000000,-246.000000,63.000000,-792.000000
1721054294.850219,12746.000000,1062.000000,-1124.000000,28274.000000,-13674.000000,-319.000000,-91.000000,-786.000000
1721054294.850718,23772.000000,1324.000000,-948.000000,26273.000000,70301.000000,-91.000000,-86.000000,-839.000000
1721054294.851217,24498.000000,1383.000000,-1212.000000,21240.000000,129717.000000,-178.000000,-86.000000,-741.000000
1721054294.851716,26478.000000,1518.000000,-1169.000000,19750.000000,131834.000000,-232.000000,36.000000,-697.000000
1721054294.852215,23505.000000,1168.000000,-1343.000000,18604.000000,142640.000000,-352.000000,-95.000000,-828.000000
1721054294.852715,22196.000000,1185.000000,-1386.000000,18900.000000,130196.000000,-504.000000,-40.000000,-814.000000
1721054294.853214,18584.000000,871.000000,-1322.000000,19561.000000,126362.000000,-538.000000,-153.000000,-785.000000
1721054294.853713,15409.000000,770.000000,-1383.000000,20353.000000,110125.000000,-694.000000,34.000000,-802.000000
1721054294.854212,13090.000000,545.000000,-1346.000000,21615.000000,96466.000000,-794.000000,-35.000000,-768.000000
1721054294.854711,6221.000000,50.000000,-1474.000000,22460.000000,85730.000000,-698.000000,-97.000000,-857.000000
1721054294.855211,2877.000000,-88.000000,-1568.000000,24227.000000,52254.000000,-804.000000,-58.000000,-695.000000
1721054294.855710,2673.000000,-46.000000,-1528.000000,26291.000000,33008.000000,-720.000000,-60.000000,-787.000000
1721054294.856209,2163.000000,-104.000000,-1462.000000,26976.000000,30607.000000,-822.000000,-26.000000,-878.000000
1721054294.856708,2599.000000,-139.000000,-1410.000000,27338.000000,26533.000000,-617.000000,-132.000000,-839.000000
1721054294.857207,1745.000000,44.000000,-1238.000000,27495.000000,27144.000000,-658.000000,33.000000,-852.000000
1721054294.857707,2196.000000,28.000000,-1183.000000,27722.000000,22487.000000,-582.000000,-61.000000,-798.000000
1721054294.858206,1258.000000,-24.000000,-1293.000000,27588.000000,24173.000000,-697.000000,-83.000000,-763.000000
1721054294.858705,2159.000000,24.000000,-1099.000000,27910.000000,19017.000000,-490.000000,2.000000,-584.000000
1721054294.859204,583.000000,174.000000,-1146.000000,27735.000000,22751.000000,-417.000000,85.000000,-676.000000
1721054294.859703,2924.000000,231.000000,-1141.000000,27982.000000,14542.000000,-436.000000,-153.000000,-572.000000
1721054294.860203,-13386.000000,-764.000000,-1018.000000,27402.000000,24951.000000,-535.000000,-18.000000,-911.000000
1721054294.860702,-26678.000000,-1355.000000,-1248.000000,29017.000000,-51786.000000,-785.000000,-123.000000,-828.000000
1721054294.861201,-26790.000000,-1402.000000,-931.000000,34168.000000,-116876.000000,-489.000000,-27.000000,-694.000000
1721054294.861700,-27896.000000,-1312.000000,-900.000000,35275.000000,-117584.000000,-379.000000,-63.000000,-713.000000
1721054294.862199,-23932.000000,-1261.000000,-829.000000,36181.000000,-130098.000000,-465.000000,-6.000000,-692.000000
1721054294.862699,-23188.000000,-989.000000,-957.000000,35708.000000,-118758.000000,-237.000000,-120.000000,-753.000000
1721054294.863198,-18910.000000,-832.000000,-666.000000,35413.000000,-116485.000000,-148.000000,-36.000000,-684.000000
1721054294.863697,-15884.000000,-617.000000,-667.000000,34557.000000,-100622.000000,-62.000000,-78.000000,-635.000000
1721054294.864196,-13470.000000,-278.000000,-749.000000,33395.000000,-86779.000000,-29.000000,-72.000000,-741.000000
1721054294.864695,-8314.000000,285.000000,-657.000000,32573.000000,-76678.000000,50.000000,-39.000000,-730.000000
1721054294.865195,-5323.000000,210.000000,-482.000000,31499.000000,-50660.000000,84.000000,-37.000000,-691.000000
1721054294.865694,-4140.000000,395.000000,-552.000000,29869.000000,-30082.000000,38.000000,-128.000000,-823.000000
1721054294.866193,-3454.000000,379.000000,-511.000000,29054.000000,-23209.000000,44.000000,-109.000000,-677.000000
