Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721054109.483168,0.000000,1723.000000,-664.000000,29878.000000,111764.000000,-134.000000,-70.000000,-597.000000
1721054109.483667,16387.000000,1514.000000,-547.000000,30555.000000,98307.000000,-227.000000,-118.000000,-790.000000
1721054109.484166,13414.000000,1494.000000,-568.000000,31090.000000,84196.000000,-148.000000,-29.000000,-768.000000
1721054109.484665,7139.000000,1064.000000,-579.000000,31848.000000,54199.000000,-156.000000,-155.000000,-805.000000
1721054109.485165,3687.000000,858.000000,-513.000000,33300.000000,33641.000000,-228.000000,-106.000000,-848.000000
1721054109.485664,3756.000000,878.000000,-287.000000,33725.000000,32045.000000,-160.000000,-134.000000,-725.000000
1721054109.486163,2911.000000,855.000000,-413.000000,34122.000000,27654.000000,-131.000000,-63.000000,-785.000000
1721054109.486662,3444.000000,952.000000,-253.000000,34560.000000,28271.000000,-202.000000,-116.000000,-836.000000
1721054109.487161,2602.000000,777.000000,-338.000000,34680.000000,23680.000000,-160.000000,57.000000,-667.000000
1721054109.487661,2911.000000,878.000000,-439.000000,34618.000000,25051.000000,-157.000000,-58.000000,-573.000000
1721054109.488160,1879.000000,740.000000,-357.000000,34703.000000,19846.000000,-275.000000,116.000000,-793.000000
1721054109.488659,2789.000000,740.000000,-407.000000,34816.000000,23414.000000,-296.000000,-101.000000,-771.000000
1721054109.489158,1041.000000,583.000000,-525.000000,34854.000000,15198.000000,-230.000000,-44.000000,-857.000000
1721054109.489657,3464.000000,940.000000,-291.000000,34730.000000,25858.000000,-169.000000,-199.000000,-641.000000
1721054109.490157,-10756.000000,-116.000000,-638.000000,34841.000000,-41463.000000,-101.000000,57.000000,-790.000000
1721054109.490656,-26463.000000,-1010.000000,-545.000000,37937.000000,-115910.000000,-498.000000,97.000000,-558.000000
1721054109.491155,-25964.000000,-868.000000,-569.000000,39303.000000,-115616.000000,-293.000000,-39.000000,-679.000000
1721054109.491654,-26611.000000,-850.000000,-412.000000,40042.000000,-126018.000000,-258.000000,-186.000000,-778.000000
1721054109.492153,-23310.000000,-704.000000,-310.000000,40222.000000,-118481.000000,-216.000000,-173.000000,-685.000000
