Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721058129.212165,0.000000,-1359.000000,-866.000000,33659.000000,-113703.000000,-58.000000,151.000000,-730.000000
1721058129.212664,-17784.000000,-1223.000000,-966.000000,32989.000000,-96506.000000,-123.000000,-34.000000,-847.000000
1721058129.213163,-15663.000000,-961.000000,-1101.000000,32162.000000,-84301.000000,-140.000000,7.000000,-782.000000
1721058129.213662,-13522.000000,-927.000000,-1011.000000,31462.000000,-72724.000000,-232.000000,7.000000,-867.000000
1721058129.214162,-8799.000000,-518.000000,-1180.000000,30342.000000,-46167.000000,-431.000000,-37.000000,-625.000000
1721058129.214661,-6168.000000,-509.000000,-1394.000000,29196.000000,-28365.000000,-653.000000,63.000000,-659.000000
1721058129.215160,-5133.000000,-397.000000,-1394.000000,28224.000000,-21903.000000,-874.000000,-1.000000,-931.000000
1721058129.215659,-4659.000000,-693.000000,-1502.000000,27711.000000,-17785.000000,-1067.000000,-42.000000,-728.000000
1721058129.216158,-4636.000000,-622.000000,-1597.000000,27533.000000,-17609.000000,-1221.000000,-61.000000,-677.000000
1721058129.216658,-4092.000000,-787.000000,-1695.000000,27328.000000,-13612.000000,-1497.000000,72.000000,-694.000000
1721058129.217157,-4589.000000,-942.000000,-1941.000000,27347.000000,-14832.000000,-1687.000000,-35.000000,-748.000000
1721058129.217656,-3771.000000,-836.000000,-1932.000000,27189.000000,-10233.000000,-1974.000000,33.000000,-719.000000
1721058129.218155,-4385.000000,-1125.000000,-1992.000000,27167.000000,-13090.000000,-2035.000000,68.000000,-822.000000
1721058129.218654,-3118.000000,-938.000000,-1870.000000,27047.000000,-6235.000000,-1914.000000,-56.000000,-770.000000
1721058129.219154,-4500.000000,-973.000000,-1953.000000,27519.000000,-14445.000000,-1865.000000,22.000000,-716.000000
1721058129.219653,10552.000000,274.000000,-1529.000000,26202.000000,66054.000000,-1485.000000,-73.000000,-821.000000
1721058129.220152,20836.000000,1088.000000,-1814.000000,21949.000000,125581.000000,-1612.000000,45.000000,-777.000000
1721058129.220651,20911.000000,1045.000000,-1846.000000,20565.000000,129236.000000,-1450.000000,62.000000,-731.000000
1721058129.221150,22920.000000,1283.000000,-1537.000000,19479.000000,139992.000000,-1181.000000,65.000000,-741.000000
1721058129.221650,20207.000000,1163.000000,-1523.000000,19329.000000,127650.000000,-969.000000,122.000000,-809.000000
1721058129.222149,19394.000000,1145.000000,-1415.000000,19736.000000,124302.000000,-760.000000,189.000000,-766.000000
1721058129.222648,16017.000000,1060.000000,-1373.000000,20454.000000,107517.000000,-650.000000,62.000000,-696.000000
1721058129.223147,13741.000000,782.000000,-1288.000000,21626.000000,94840.000000,-372.000000,111.000000,-774.000000
1721058129.223646,11496.000000,694.000000,-1260.000000,22253.000000,83352.000000,-312.000000,-31.000000,-832.000000
1721058129.224146,5531.000000,305.000000,-1067.000000,23625.000000,49819.000000,-111.000000,-35.000000,-888.000000
1721058129.224645,3028.000000,294.000000,-953.000000,25314.000000,32113.000000,200.000000,-81.000000,-849.000000
1721058129.225144,2788.000000,131.000000,-1052.000000,25961.000000,29982.000000,311.000000,-34.000000,-706.000000
1721058129.225643,2528.000000,167.000000,-815.000000,26470.000000,26325.000000,542.000000,-113.000000,-913.000000
1721058129.226142,2713.000000,324.000000,-1020.000000,26429.000000,26715.000000,595.000000,48.000000,-680.000000
1721058129.226642,2076.000000,283.000000,-853.000000,26765.000000,22219.000000,758.000000,95.000000,-747.000000
1721058129.227141,2432.000000,407.000000,-776.000000,26813.000000,24043.000000,942.000000,28.000000,-838.000000
1721058129.227640,1628.000000,554.000000,-796.000000,26944.000000,18895.000000,980.000000,11.000000,-711.000000
1721058129.228139,2378.000000,428.000000,-633.000000,26660.000000,22486.000000,1100.000000,-52.000000,-809.000000
1721058129.228638,1129.000000,603.000000,-486.000000,27122.000000,14734.000000,1208.000000,-21.000000,-786.000000
1721058129.229138,3009.000000,931.000000,-542.000000,26767.000000,24965.000000,1337.000000,-43.000000,-739.000000
1721058129.229637,-10495.000000,-340.000000,-700.000000,27631.000000,-47473.000000,1024.000000,-55.000000,-864.000000
1721058129.230136,-22207.000000,-1186.000000,-529.000000,31559.000000,-114186.000000,1263.000000,38.000000,-808.000000
1721058129.230635,-21936.000000,-897.000000,-368.000000,33270.000000,-115915.000000,1447.000000,61.000000,-773.000000
1721058129.231134,-23915.000000,-1201.000000,-293.000000,34015.000000,-128156.000000,1347.000000,29.000000,-813.000000
1721058129.231634,-21265.000000,-1021.000000,-276.000000,34155.000000,-116306.000000,1367.000000,51.000000,-705.000000
1721058129.232133,-20799.000000,-818.000000,-458.000000,33700.000000,-113791.000000,1172.000000,39.000000,-736.000000
1721058129.232632,-17620.000000,-797.000000,-445.000000,33189.000000,-97317.000000,1142.000000,-110.000000,-661.000000
1721058129.233131,-15213.000000,-460.000000,-539.000000,32177.000000,-84174.000000,916.000000,16.000000,-785.000000
1721058129.233630,-13358.000000,-473.000000,-677.000000,31441.000000,-73598.000000,733.000000,113.000000,-698.000000
1721058129.234130,-8854.000000,-246.000000,-880.000000,30398.000000,-47594.000000,477.000000,71.000000,-708.000000
1721058129.234629,-6004.000000,-263.000000,-1110.000000,28963.000000,-28472.000000,193.000000,-63.000000,-893.000000
1721058129.235128,-5151.000000,-365.000000,-1180.000000,28201.000000,-22267.000000,-159.000000,-16.000000,-893.000000
1721058129.235627,-4619.000000,-478.000000,-1434.000000,27692.000000,-17367.000000,-380.000000,-39.000000,-761.000000
1721058129.236126,-4725.000000,-580.000000,-1398.000000,27589.000000,-17754.000000,-528.000000,-10.000000,-871.000000
1721058129.236626,-4048.000000,-626.000000,-1528.000000,27325.000000,-13148.000000,-767.000000,139.000000,-753.000000
1721058129.237125,-4462.000000,-677.000000,-1739.000000,27367.000000,-14871.000000,-876.000000,-36.000000,-930.000000
1721058129.237624,-3579.000000,-705.000000,-1826.000000,27208.000000,-9886.000000,-1107.000000,-97.000000,-711.000000
1721058129.238123,-4358.000000,-693.000000,-1639.000000,27318.000000,-13321.000000,-1313.000000,-14.000000,-810.000000
1721058129.238622,-3040.000000,-569.000000,-1883.000000,26933.000000,-5652.000000,-1358.000000,-14.000000,-731.000000
1721058129.239122,-4779.000000,-1033.000000,-1721.000000,27371.000000,-15636.000000,-1452.000000,-16.000000,-720.000000
1721058129.239621,9170.000000,362.000000,-1731.000000,26374.000000,59032.000000,-1239.000000,-12.000000,-791.000000
1721058129.240120,20586.000000,1193.000000,-1810.000000,22139.000000,124981.000000,-1460.000000,-9.000000,-718.000000
1721058129.240619,20636.000000,1215.000000,-1763.000000,20559.000000,128132.000000,-1567.000000,122.000000,-857.000000
1721058129.241118,22743.000000,1174.000000,-1860.000000,19470.000000,139984.000000,-1554.000000,75.000000,-786.000000
1721058129.241618,20040.000000,840.000000,-1953.000000,19523.000000,128047.000000,-1663.000000,-28.000000,-746.000000
1721058129.242117,19279.000000,941.000000,-1846.000000,19830.000000,124357.000000,-1520.000000,68.000000,-853.000000
1721058129.242616,16120.000000,579.000000,-1750.000000,20546.000000,108516.000000,-1538.000000,-1.000000,-885.000000
1721058129.243115,13583.000000,428.000000,-1722.000000,21601.000000,94825.000000,-1430.000000,156.000000,-663.000000
1721058129.243614,11674.000000,296.000000,-1507.000000,22263.000000,84293.000000,-1566.000000,140.000000,-633.000000
1721058129.244114,5696.000000,-237.000000,-1755.000000,23423.000000,51373.000000,-1491.000000,113.000000,-788.000000
1721058129.244613,2565.000000,-223.000000,-1511.000000,25190.000000,31663.000000,-1334.000000,10.000000,-736.000000
1721058129.245112,2535.000000,-139.000000,-1492.000000,25933.000000,29832.000000,-1260.000000,16.000000,-712.000000
1721058129.245611,2399.000000,150.000000,-1166.000000,26485.000000,25742.000000,-961.000000,-7.000000,-910.000000
1721058129.246110,2575.000000,-41.000000,-1085.000000,26423.000000,26674.000000,-852.000000,-89.000000,-829.000000
1721058129.246610,1963.000000,135.000000,-978.000000,26652.000000,22121.000000,-641.000000,-93.000000,-884.000000
1721058129.247109,2543.000000,605.000000,-580.000000,26647.000000,24060.000000,-406.000000,-100.000000,-782.000000
1721058129.247608,1729.000000,731.000000,-603.000000,26908.000000,18757.000000,-251.000000,21.000000,-688.000000
1721058129.248107,2618.000000,821.000000,-414.000000,26823.000000,23015.000000,-170.000000,53.000000,-805.000000
1721058129.248606,1339.000000,894.000000,-185.000000,27072.000000,14755.000000,113.000000,-2.000000,-666.000000
1721058129.249106,3655.000000,1295.000000,-157.000000,26752.000000,25869.000000,287.000000,46.000000,-833.000000
1721058129.249605,-8604.000000,250.000000,-47.000000,27394.000000,-39890.000000,380.000000,-12.000000,-829.000000
1721058129.250104,-21369.000000,-699.000000,-47.000000,31434.000000,-112627.000000,611.000000,85.000000,-648.000000
1721058129.250603,-21163.000000,-326.000000,274.000000,33149.000000,-114726.000000,907.000000,19.000000,-859.000000
1721058129.251102,-22987.000000,-376.000000,389.000000,34006.000000,-127610.000000,1319.000000,-31.000000,-855.000000
1721058129.251602,-20169.000000,157.000000,562.000000,34139.000000,-116134.000000,1620.000000,27.000000,-712.000000
1721058129.252101,-19563.000000,394.000000,716.000000,33679.000000,-113187.000000,1973.000000,0.000000,-703.000000
1721058129.252600,-16016.000000,809.000000,885.000000,33220.000000,-97682.000000,2196.000000,127.000000,-765.000000
1721058129.253099,-13396.000000,1072.000000,1080.000000,32232.000000,-83298.000000,2306.000000,139.000000,-839.000000
1721058129.253598,-11596.000000,1416.000000,1113.000000,31491.000000,-73170.000000,2561.000000,-39.000000,-737.000000
1721058129.254098,-6926.000000,1935.000000,1413.000000,30508.000000,-47856.000000,2778.000000,-37.000000,-846.000000
1721058129.254597,-3476.000000,2153.000000,1412.000000,29168.000000,-26985.000000,2780.000000,171.000000,-734.000000
1721058129.255096,-2569.000000,2462.000000,1351.000000,28296.000000,-20525.000000,2720.000000,-9.000000,-779.000000
1721058129.255595,-1514.000000,2469.000000,1293.000000,27824.000000,-14780.000000,3048.000000,-43.000000,-954.000000
1721058129.256094,-1857.000000,2328.000000,1360.000000,27698.000000,-15704.000000,3075.000000,24.000000,-739.000000
1721058129.256594,-1107.000000,2361.000000,1183.000000,27346.000000,-10629.000000,2883.000000,172.000000,-625.000000
1721058129.257093,-1659.000000,2138.000000,1290.000000,27475.000000,-12578.000000,2848.000000,6.000000,-789.000000
1721058129.257592,-841.000000,2208.000000,1214.000000,27094.000000,-7288.000000,2793.000000,-6.000000,-771.000000
1721058129.258091,-1759.000000,1754.000000,921.000000,27186.000000,-11063.000000,2576.000000,-5.000000,-884.000000
1721058129.258590,-307.000000,1975.000000,885.000000,27085.000000,-2900.000000,2511.000000,55.000000,-750.000000
1721058129.259090,-2428.000000,1866.000000,825.000000,27389.000000,-13920.000000,2531.000000,-16.000000,-825.000000
1721058129.259589,10337.000000,2717.000000,929.000000,26643.000000,54587.000000,2457.000000,148.000000,-936.000000
1721058129.260088,22841.000000,3610.000000,793.000000,22362.000000,126284.000000,2179.000000,4.000000,-875.000000
1721058129.260587,22752.000000,3236.000000,454.000000,20581.000000,129691.000000,1862.000000,8.000000,-786.000000
1721058129.261086,24616.000000,3039.000000,270.000000,19453.000000,142418.000000,1565.000000,-39.000000,-709.000000
1721058129.261586,22047.000000,2589.000000,36.000000,19424.000000,130697.000000,1503.000000,-130.000000,-781.000000
1721058129.262085,20657.000000,6391.000000,-3.000000,19886.000000,126828.000000,1248.000000,-20.000000,-840.000000
