Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721057347.710618,0.000000,-17071.000000,-19075.000000,29857.000000,-100536.000000,-2713.000000,-6.000000,-803.000000
1721057347.711117,-17825.000000,-15677.000000,-18508.000000,29097.000000,-84422.000000,-343.000000,67.000000,-661.000000
1721057347.711616,-4782.000000,-2487.000000,-4256.000000,27648.000000,-45821.000000,-5092.000000,123.000000,-792.000000
1721057347.712116,15781.000000,23658.000000,21180.000000,26330.000000,-10088.000000,-12084.000000,-21.000000,-844.000000
1721057347.712615,21724.000000,27913.000000,24989.000000,25854.000000,3328.000000,-16428.000000,26.000000,-859.000000
1721057347.713114,16264.000000,17603.000000,14377.000000,25282.000000,-2440.000000,64.000000,38.000000,-819.000000
1721057347.713613,5342.000000,1186.000000,-2469.000000,25232.000000,-13969.000000,11467.000000,165.000000,-955.000000
1721057347.714112,756.000000,-6064.000000,-8311.000000,25012.000000,-16285.000000,13370.000000,96.000000,-896.000000
1721057347.714612,2811.000000,-6753.000000,-10120.000000,25119.000000,-15429.000000,4827.000000,-5.000000,-682.000000
1721057347.715111,-2650.000000,-10817.000000,-13641.000000,24961.000000,-20750.000000,-2005.000000,66.000000,-759.000000
1721057347.715610,2452.000000,-2353.000000,-4250.000000,24956.000000,-11884.000000,-685.000000,22.000000,-921.000000
1721057347.716109,12974.000000,9449.000000,6267.000000,24643.000000,-1814.000000,-6549.000000,125.000000,-816.000000
1721057347.716608,14403.000000,11828.000000,7735.000000,25113.000000,6783.000000,-10015.000000,19.000000,-822.000000
1721057347.717108,27921.000000,9475.000000,6051.000000,22508.000000,104058.000000,-2038.000000,124.000000,-716.000000
1721057347.717607,38839.000000,15602.000000,11619.000000,18681.000000,143528.000000,1448.000000,-92.000000,-749.000000
1721057347.718106,40098.000000,15094.000000,10562.000000,17551.000000,151536.000000,-3810.000000,73.000000,-937.000000
1721057347.718605,32637.000000,2471.000000,-1676.000000,16693.000000,144456.000000,-1895.000000,78.000000,-689.000000
1721057347.719104,21609.000000,-10697.000000,-13898.000000,16987.000000,125616.000000,4243.000000,8.000000,-1021.000000
1721057347.719604,12483.000000,-20470.000000,-24393.000000,17361.000000,107529.000000,2254.000000,-23.000000,-777.000000
1721057347.720103,10447.000000,-16587.000000,-20651.000000,18241.000000,87903.000000,-1455.000000,-24.000000,-740.000000
1721057347.720602,9042.000000,-16797.000000,-19425.000000,19396.000000,85046.000000,-9087.000000,79.000000,-716.000000
1721057347.721101,4425.000000,-13711.000000,-15580.000000,20039.000000,68256.000000,-13666.000000,42.000000,-785.000000
1721057347.721600,1072.000000,-9383.000000,-13239.000000,21824.000000,32834.000000,-14445.000000,168.000000,-731.000000
1721057347.722100,-4078.000000,-15552.000000,-19077.000000,23310.000000,20398.000000,-12366.000000,261.000000,-836.000000
1721057347.722599,-8374.000000,-18821.000000,-21465.000000,23726.000000,13156.000000,-8721.000000,-47.000000,-844.000000
1721057347.723098,-9880.000000,-20659.000000,-22871.000000,24217.000000,11641.000000,-10532.000000,89.000000,-855.000000
1721057347.723597,-10259.000000,-20279.000000,-20521.000000,24052.000000,11164.000000,-13177.000000,249.000000,-862.000000
1721057347.724096,637.000000,-6118.000000,-5210.000000,24408.000000,22385.000000,-16358.000000,63.000000,-745.000000
1721057347.724596,10880.000000,5067.000000,5310.000000,24438.000000,33357.000000,-22472.000000,148.000000,-647.000000
1721057347.725095,9583.000000,-686.000000,-1464.000000,24432.000000,27751.000000,-20170.000000,-77.000000,-1013.000000
1721057347.725594,7021.000000,-6178.000000,-9234.000000,24471.000000,16860.000000,-8533.000000,-106.000000,-841.000000
1721057347.726093,5438.000000,-5877.000000,-10717.000000,24687.000000,8986.000000,-4820.000000,53.000000,-790.000000
1721057347.726592,5695.000000,1372.000000,-752.000000,24112.000000,15429.000000,-5095.000000,50.000000,-686.000000
1721057347.727092,-8114.000000,2682.000000,-941.000000,26322.000000,-80209.000000,-8189.000000,11.000000,-906.000000
1721057347.727591,-14935.000000,1900.000000,1063.000000,30239.000000,-114304.000000,-4713.000000,135.000000,-744.000000
1721057347.728090,-11599.000000,1392.000000,-923.000000,31053.000000,-120031.000000,-2415.000000,3.000000,-639.000000
1721057347.728589,-10334.000000,3653.000000,3246.000000,32065.000000,-122266.000000,-4855.000000,32.000000,-819.000000
1721057347.729088,-2744.000000,13162.000000,12655.000000,31664.000000,-104982.000000,-5839.000000,44.000000,-733.000000
1721057347.729588,-669.000000,13111.000000,14715.000000,31286.000000,-97197.000000,-6049.000000,10.000000,-809.000000
1721057347.730087,10536.000000,22689.000000,23326.000000,30726.000000,-71744.000000,-85.000000,95.000000,-825.000000
1721057347.730586,17135.000000,25683.000000,23707.000000,29772.000000,-61659.000000,351.000000,53.000000,-830.000000
1721057347.731085,21878.000000,25513.000000,22087.000000,28999.000000,-46060.000000,5155.000000,98.000000,-898.000000
1721057347.731584,21037.000000,19254.000000,15255.000000,27663.000000,-21371.000000,8972.000000,47.000000,-825.000000
1721057347.732084,18920.000000,16884.000000,13385.000000,26401.000000,-9524.000000,13196.000000,-42.000000,-693.000000
1721057347.732583,18138.000000,10277.000000,5228.000000,25769.000000,-6437.000000,12423.000000,75.000000,-732.000000
1721057347.733082,12883.000000,7172.000000,8884.000000,25394.000000,-152.000000,11617.000000,6.000000,-800.000000
1721057347.733581,19194.000000,27454.000000,28683.000000,25276.000000,10065.000000,7527.000000,185.000000,-721.000000
1721057347.734080,30088.000000,44252.000000,46070.000000,24875.000000,24749.000000,2038.000000,20.000000,-955.000000
1721057347.734580,38223.000000,47657.000000,48126.000000,25114.000000,30879.000000,6435.000000,183.000000,-759.000000
1721057347.735079,41507.000000,45610.000000,41561.000000,24786.000000,24091.000000,14818.000000,111.000000,-709.000000
1721057347.735578,35689.000000,25031.000000,17622.000000,24990.000000,15021.000000,19598.000000,85.000000,-800.000000
1721057347.736077,25659.000000,12366.000000,2922.000000,24667.000000,5696.000000,21901.000000,113.000000,-762.000000
1721057347.736576,19388.000000,4517.000000,-14151.000000,25279.000000,-802.000000,15122.000000,-3.000000,-876.000000
1721057347.737076,26891.000000,-4770.000000,-29795.000000,22809.000000,80292.000000,8093.000000,43.000000,-755.000000
1721057347.737575,26689.000000,-15337.000000,-44547.000000,18947.000000,113762.000000,5167.000000,125.000000,-819.000000
1721057347.738074,26733.000000,-9272.000000,-41401.000000,17761.000000,123334.000000,-2011.000000,39.000000,-755.000000
1721057347.738573,37114.000000,24290.000000,-15077.000000,16809.000000,147151.000000,-7400.000000,17.000000,-733.000000
1721057347.739072,49245.000000,42696.000000,-9016.000000,17022.000000,155607.000000,-13493.000000,127.000000,-765.000000
1721057347.739572,57368.000000,48973.000000,-27743.000000,17470.000000,158563.000000,-3089.000000,82.000000,-699.000000
1721057347.740071,55079.000000,34265.000000,-76079.000000,18085.000000,134974.000000,10801.000000,24.000000,-902.000000
1721057347.740570,44992.000000,2052.000000,-153330.000000,19160.000000,101551.000000,16021.000000,8.000000,-726.000000
1721057347.741069,24358.000000,-23048.000000,-267101.000000,19893.000000,62572.000000,15552.000000,-39.000000,-831.000000
1721057347.741569,8981.000000,-23587.000000,-391241.000000,21527.000000,21515.000000,6552.000000,32.000000,-835.000000
1721057347.742068,1613.000000,-14581.000000,-549253.000000,23148.000000,10160.000000,-8557.000000,64.000000,-801.000000
1721057347.742567,5382.000000,-9843.000000,-664092.000000,23596.000000,14076.000000,-13629.000000,-2.000000,-934.000000
1721057347.743066,12550.000000,3322.000000,-727960.000000,23882.000000,24097.000000,-13140.000000,91.000000,-782.000000
1721057347.743565,19143.000000,26824.000000,-726949.000000,23979.000000,37706.000000,-11959.000000,61.000000,-891.000000
1721057347.744065,31835.000000,47168.000000,-688726.000000,24135.000000,32987.000000,-10064.000000,-28.000000,-845.000000
1721057347.744564,33040.000000,44717.000000,-585964.000000,23980.000000,30493.000000,497.000000,49.000000,-771.000000
1721057347.745063,28975.000000,21936.000000,-345215.000000,24202.000000,36816.000000,13369.000000,49.000000,-837.000000
1721057347.745562,17977.000000,9003.000000,-72453.000000,24080.000000,57197.000000,15060.000000,1.000000,-796.000000
1721057347.746061,8917.000000,11493.000000,215716.000000,24101.000000,57026.000000,9215.000000,-30.000000,-822.000000
1721057347.746561,9899.000000,17382.000000,435793.000000,23672.000000,65754.000000,97.000000,4.000000,-707.000000
1721057347.747060,-8317.000000,17106.000000,633319.000000,25541.000000,-10868.000000,-2397.000000,65.000000,-879.000000
1721057347.747559,-15783.000000,40154.000000,768287.000000,29826.000000,-46720.000000,-4536.000000,-48.000000,-800.000000
1721057347.748058,-6751.000000,71490.000000,811765.000000,29936.000000,-29459.000000,-13865.000000,52.000000,-817.000000
1721057347.748557,2878.000000,85165.000000,759815.000000,30136.000000,-39702.000000,-8840.000000,74.000000,-873.000000
1721057347.749057,8841.000000,73347.000000,645716.000000,29784.000000,-35349.000000,3277.000000,38.000000,-796.000000
1721057347.749556,6240.000000,45238.000000,524696.000000,29219.000000,-43003.000000,4944.000000,35.000000,-652.000000
1721057347.750055,-433.000000,16251.000000,398584.000000,28818.000000,-58789.000000,-447.000000,-55.000000,-747.000000
1721057347.750554,-10269.000000,-9295.000000,297154.000000,27884.000000,-90364.000000,-10109.000000,133.000000,-731.000000
1721057347.751053,-21791.000000,-25988.000000,230400.000000,27478.000000,-95677.000000,-24545.000000,62.000000,-815.000000
1721057347.751553,-32691.000000,-26510.000000,192505.000000,26431.000000,-77954.000000,-43862.000000,-4.000000,-780.000000
1721057347.752052,-32310.000000,-13827.000000,174090.000000,25519.000000,-57205.000000,-51883.000000,-25.000000,-836.000000
1721057347.752551,-23930.000000,3544.000000,162076.000000,24962.000000,-32758.000000,-57010.000000,-48.000000,-824.000000
1721057347.753050,-22638.000000,17514.000000,156025.000000,24560.000000,-26549.000000,-50064.000000,115.000000,-810.000000
1721057347.753549,-14861.000000,24849.000000,139602.000000,24510.000000,-17837.000000,-38259.000000,41.000000,-761.000000
1721057347.754049,-13175.000000,16125.000000,112034.000000,24280.000000,-19599.000000,-24334.000000,8.000000,-777.000000
1721057347.754548,-13882.000000,10781.000000,88594.000000,24419.000000,-18380.000000,-26908.000000,174.000000,-825.000000
1721057347.755047,-17691.000000,2129.000000,63339.000000,24264.000000,-20064.000000,-32013.000000,239.000000,-823.000000
