Timestamp,Geophone_1,Geophone_2,Geophone_3,Geophone_4,Geophone_5,Geophone_6,Accelerometer_1,Accelerometer_2
second.us,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
1721054654.410191,0.000000,1712.000000,-1006.000000,24598.000000,-2228483.000000,-126.000000,200.000000,-948.000000
1721054654.410690,20064.000000,1781.000000,-1067.000000,23668.000000,144798.000000,-149.000000,79.000000,-841.000000
1721054654.411189,22210.000000,1664.000000,-1043.000000,23324.000000,134586.000000,-127.000000,129.000000,-836.000000
1721054654.411689,20001.000000,1349.000000,-1055.000000,23632.000000,129743.000000,-181.000000,-42.000000,-805.000000
1721054654.412188,18756.000000,1163.000000,-1087.000000,24019.000000,116308.000000,-252.000000,-18.000000,-672.000000
1721054654.412687,16269.000000,1044.000000,-953.000000,24882.000000,99760.000000,-360.000000,73.000000,-817.000000
1721054654.413186,13345.000000,1055.000000,-1083.000000,25596.000000,91131.000000,-259.000000,-36.000000,-793.000000
1721054654.413685,12007.000000,503.000000,-1062.000000,26405.000000,60868.000000,-490.000000,40.000000,-736.000000
1721054654.414185,6950.000000,237.000000,-1063.000000,28050.000000,34768.000000,-410.000000,97.000000,-783.000000
1721054654.414684,2981.000000,206.000000,-971.000000,28815.000000,32210.000000,-295.000000,1.000000,-942.000000
1721054654.415183,2812.000000,286.000000,-1011.000000,29281.000000,26877.000000,-353.000000,188.000000,-767.000000
1721054654.415682,2072.000000,21.000000,-964.000000,29433.000000,28236.000000,-370.000000,30.000000,-759.000000
1721054654.416181,2404.000000,169.000000,-1009.000000,29494.000000,22818.000000,-449.000000,33.000000,-761.000000
1721054654.416681,1672.000000,170.000000,-1055.000000,29638.000000,25188.000000,-386.000000,122.000000,-864.000000
1721054654.417180,2075.000000,209.000000,-1000.000000,29840.000000,19281.000000,-319.000000,-54.000000,-806.000000
1721054654.417679,1160.000000,285.000000,-1013.000000,29786.000000,23231.000000,-304.000000,33.000000,-885.000000
1721054654.418178,1992.000000,244.000000,-919.000000,29810.000000,14686.000000,-371.000000,103.000000,-831.000000
1721054654.418677,556.000000,193.000000,-922.000000,29878.000000,26144.000000,-286.000000,54.000000,-837.000000
1721054654.419177,2480.000000,-408.000000,-1201.000000,29685.000000,-27611.000000,-634.000000,-47.000000,-874.000000
1721054654.419676,-6641.000000,-1561.000000,-1189.000000,33186.000000,-113464.000000,-540.000000,99.000000,-817.000000
1721054654.420175,-20546.000000,-1461.000000,-1101.000000,35280.000000,-118139.000000,-507.000000,170.000000,-814.000000
1721054654.420674,-20731.000000,-1676.000000,-913.000000,35832.000000,-132518.000000,-393.000000,82.000000,-741.000000
1721054654.421173,-22764.000000,-1564.000000,-869.000000,36185.000000,-123463.000000,-127.000000,1.000000,-894.000000
1721054654.421673,-20762.000000,-1322.000000,-974.000000,35856.000000,-119182.000000,-263.000000,126.000000,-827.000000
1721054654.422172,-19906.000000,-946.000000,-925.000000,35626.000000,-106334.000000,-218.000000,21.000000,-862.000000
1721054654.422671,-17459.000000,-879.000000,-830.000000,34857.000000,-89978.000000,-207.000000,68.000000,-923.000000
1721054654.423170,-14706.000000,-591.000000,-832.000000,34162.000000,-80677.000000,-193.000000,145.000000,-802.000000
